concept_id,record_count
5083,13290980
8507,387469200
8515,7192060
8516,47617010
8522,107770
8527,216485960
8532,434661150
8546,11131300
8552,13876250
8557,135160
8615,410970
8650,1198390
8657,108520
8676,42813000
8715,475690
8717,5779690
8756,292890
8782,5289770
8863,279640
8913,1721240
8947,52040
8949,5011840
8957,536000
8964,39419980
8966,3615280
8974,126470
8976,3199500
9177,4010
9201,18662780
9202,1687059950
9203,188377440
22274,232880
22281,230090
22288,35070
22340,2527620
22350,1131290
22426,17240
22492,335480
22557,6280
22665,6670
22666,93140
22839,347520
22856,209640
22871,44320
22945,6700
22955,603830
23034,972590
23137,10370
23164,767940
23220,6973330
23237,11170
23245,343980
23247,44830
23304,6820
23325,13713740
23358,16480
23567,115640
23653,2096110
23731,432290
23798,21049320
23799,89580
23806,25510
23808,178780
23865,172730
23868,929150
23986,1886210
23988,150190
24006,3200
24076,3070
24134,329748620
24148,9000
24198,1610
24230,831440
24296,67200
24397,1880
24602,648680
24609,13484890
24612,36880
24660,22517600
24818,5997710
24884,19520
24897,209150
24909,361950
24966,1013900
24969,12980
24970,2292520
24973,8570
24974,1120810
24977,469540
24978,20100
25056,31130
25068,3060
25189,38570
25211,93180
25297,221202480
25486,305730
25518,1685340
25568,268150
25572,1193080
25582,132210
25698,32460
25748,315510
25780,896200
25844,4126490
25965,1660
26052,4070230
26060,96760
26069,96660
26141,5180
26286,36470
26361,135290
26378,1295190
26441,495640
26459,533980
26638,8009270
26662,49626590
26711,2004550
26718,9310
26719,138860
26727,7056490
26823,11157780
26899,1400
26908,18640
26935,1365710
26942,6088400
27017,230480
27026,22660
27137,27990
27235,19670
27321,1646120
27419,192070
27438,24770
27516,203300
27526,8480
27587,2028070
27674,98712830
27826,26120
27835,453990
27918,3330700
28060,55226330
28083,985640
28109,168170
28115,49900
28127,96920
28179,892180
28248,4480
28281,8660
28385,549070
28396,452060
28403,560260
28457,7238170
28461,231410
28462,27020
28716,1720
28779,831790
28898,66670
28974,1883350
29056,3299440
29735,11058810
29783,1140
29979,13620
30061,181350
30133,5260880
30163,1176930
30234,33379380
30274,28960
30284,790700
30333,58940
30346,1380
30356,49440
30361,2070
30365,849340
30437,43574030
30439,27630
30441,667560
30442,1760
30515,108930
30678,22490
30679,551150
30683,4247330
30753,16759720
30770,70520
30968,2458980
30969,170410
30978,1047520
31057,1658400
31317,111335400
31335,138400
31339,61470
31386,2080
31509,3790040
31597,594510
31598,4717410
31601,10910
31602,2057480
31609,280340
31610,8646420
31668,738110
31720,4570
31821,8557150
31884,736890
31967,62341540
32581,7658540
32693,1157650
72245,722520
72266,1373210
72332,40290
72374,82250
72377,89250
72378,2920
72381,1400
72390,28440
72398,7320
72399,4110
72401,150880
72403,53460
72404,21839080
72405,6312780
72407,2875080
72410,115700
72413,282510
72415,824340
72418,23132810
72421,238460
72434,170680
72459,525430
72465,2681810
72468,5250
72469,2005480
72481,68870
72487,474090
72501,17400
72516,27630
72521,77060
72566,157270
72576,2066460
72578,767140
72618,2191530
72692,3370
72693,10602010
72696,19830
72705,373240
72708,255900
72709,57640
72711,32626110
72712,622210
72714,738240
72715,2972500
72717,83720
72726,53110
72737,2669030
72745,12170
72757,42120
72817,7130
72857,42330
72926,47440
72970,336900
72973,58060
72984,4780
72985,5240
72986,33687670
72988,112910
72990,18261520
72991,104140
72992,135610
72993,46178830
72994,124230
72995,4369400
72997,15650
73001,6630550
73008,12321660
73012,750430
73017,137090
73019,20060
73021,183770
73026,4440
73036,2350140
73041,115370
73042,3240
73043,2740
73045,2966450
73065,150660
73068,7260
73072,5610
73075,961540
73085,15660
73089,549100
73090,6522240
73122,6560
73153,1605780
73183,108820
73231,2928960
73241,2407800
73267,20270
73268,595220
73282,3720
73287,21330
73290,2990250
73291,12230
73297,15060
73300,6802660
73301,43990
73302,1846460
73307,24510
73318,243520
73334,119680
73335,13760
73336,350510
73338,1900960
73341,4190280
73343,65360
73349,18380
73362,4670
73365,10490
73366,195860
73372,13180
73373,57350
73378,177030
73383,227960
73395,1080
73409,2480
73534,235810
73537,777600
73538,2340
73546,124840
73550,3820
73553,27188970
73554,4020
73555,31420
73557,3890
73560,12787870
73561,155540
73562,7310
73564,9030520
73568,12140
73571,1948180
73574,5060220
73575,1110
73580,322790
73609,43080
73614,48510
73616,4870
73649,3162730
73673,2336700
73686,5200
73712,2730
73723,29570
73754,17942540
73819,15015340
73824,2980
73838,50570
73840,37426980
73841,1286580
73842,540770
73845,264030
73847,95220
73849,205080
73851,176510
73854,92710
73855,68760
73866,254570
73872,467130
73884,318660
73888,16220
73889,751840
73906,86690
73913,27890
73923,1640050
73925,142060
74052,1968900
74064,75930
74080,91800
74082,442760
74104,4763760
74120,2390
74124,287180
74125,14370110
74126,23580
74127,1197400
74129,6230
74130,9093930
74132,19141160
74135,371920
74138,3504500
74150,48430
74160,19940
74174,1548790
74179,13700
74182,5710
74185,12170
74188,1712200
74189,10723470
74192,12190
74194,2493560
74211,123130
74250,263540
74322,103980
74373,12260
74392,1930
74396,6861970
74399,641860
74415,2047830
74422,2880
74433,4120
74434,19530
74440,8080
74444,74500
74445,14380
74447,1136690
74448,211720
74450,63380
74456,49740
74458,2802860
74464,196760
74468,59440
74469,695070
74470,485450
74471,37460
74472,1771890
74495,1060
74503,1180
74522,87150
74533,161780
74564,280030
74582,21014030
74606,361380
74635,27849750
74698,2401620
74706,1880
74716,69050
74719,18897310
74722,233760
74723,782990
74724,29730
74725,17544390
74726,236890
74727,36550
74728,8306530
74731,1192930
74737,109010
74739,85560
74740,175480
74747,15440
74763,142220
74768,412060
74772,93550
74775,7720
74777,1053040
74783,7210
74786,37310
74806,928840
74808,2720
74809,501740
74816,1617570
74817,1700
74855,4710760
74864,20950
74892,104460
74949,1500
74998,34680
75004,17852740
75010,829480
75015,76640
75035,62720
75036,15268220
75037,6690
75039,2154660
75040,25050
75042,6470
75043,629310
75045,3180
75046,452620
75047,67550
75048,336530
75050,53290
75051,3854590
75052,572810
75053,447630
75054,2380
75065,243920
75070,13510
75073,8540
75090,2240
75091,2940520
75092,20040
75095,6244190
75103,250960
75112,20830
75114,52330
75121,152580
75126,35830
75128,3535260
75206,64240
75210,170930
75311,1076490
75337,3181920
75341,3900
75343,1109390
75344,5355200
75345,137480
75346,1580470
75347,9818130
75351,103520
75354,643500
75356,845660
75373,66190
75375,75910
75379,2360
75385,78360
75386,2790
75387,22270
75406,1310950
75407,43240
75408,44230
75413,43420
75426,353910
75456,1430
75488,483370
75512,571400
75555,171550
75576,22649450
75580,1092380
75605,154320
75608,2860
75617,28125790
75620,1023910
75621,83830
75622,17830
75623,2492150
75627,134010
75628,63540
75634,584600
75635,26470
75639,15570
75650,22529060
75652,1029840
75667,2559400
75668,2129970
75669,12330
75670,388750
75686,492110
75689,248720
75690,37990
75692,28000
75708,165390
75709,74180
75741,2850
75756,15780
75804,1610
75860,115793760
75863,5247390
75865,2630210
75882,92360
75896,19110
75897,5716130
75898,2930
75899,15020
75900,31040
75908,92450
75909,41825400
75910,310130
75911,19284570
75915,23210
75916,32320
75920,128360
75924,54180
75932,75320
75941,3994010
75942,33540
75943,29410
75946,94380
75949,2160
75954,1565060
75970,9690
75994,27300
75996,12760
76002,398590
76022,7700
76034,67720
76122,63520
76128,2550
76130,28170
76150,3150
76153,3817230
76154,71540
76191,317080
76193,3220
76194,5192910
76196,191690
76199,203620
76202,1127250
76207,7950
76221,6920
76240,3188960
76241,3850
76255,616800
76270,59420
76273,5780
76304,58700
76349,640470
76388,267860
76396,31830
76458,22940
76467,68160
76472,373240
76482,2062770
76491,26440
76492,2210
76493,5940
76498,54410
76499,2420
76500,18290
76503,1356130
76504,44920
76507,136600
76508,409820
76509,10280
76521,85680
76533,38610
76542,184000
76545,2227850
76550,515900
76565,4514000
76570,15740
76573,129440
76574,176970
76595,9470
76598,5040
76611,876370
76629,2500
76685,130010
76725,4463920
76744,5360
76745,319720
76750,67360
76756,901280
76761,9790
